intro,sp,hw,l
1,hyla,2.20,3.18
1,hyla,1.73,2.73
1,hyla,1.82,3.18
1,hyla,1.69,2.81
1,hyla,1.15,2.47
1,hyla,2.01,3.73
1,hyla,2.00,3.10
1,hyla,1.52,2.96
1,hyla,1.56,2.85
1,hyla,2.07,3.16
1,hyla,2.04,2.97
1,hyla,1.55,2.39
1,hyla,1.51,2.91
1,hyla,1.67,3.17
1,hyla,1.82,2.20
1,hyla,1.52,2.85
1,hyla,1.52,2.36
1,hyla,1.52,2.59
1,hyla,1.44,2.47
1,hyla,1.51,2.47
1,rana,2.48,4.73
1,rana,2.68,4.83
1,rana,2.51,4.34
1,rana,2.73,4.64
1,rana,2.39,4.64
1,rana,2.53,4.79
1,rana,2.48,4.59
1,rana,2.61,4.36
1,rana,2.62,4.59
1,rana,2.53,4.26
1,rana,2.79,4.66
1,rana,2.80,4.74
1,rana,2.39,4.86
1,rana,2.93,4.32
1,rana,2.69,4.95
1,rana,2.56,4.62
1,rana,2.69,4.76
1,rana,2.68,4.46
1,rana,2.29,4.70
1,rana,2.71,4.66
2,hyla,1.82,3.04
2,hyla,1.96,3.31
2,hyla,1.97,3.43
2,hyla,1.94,3.19
2,hyla,1.90,3.25
2,hyla,2.36,3.51
2,hyla,2.00,2.90
2,hyla,1.94,2.75
2,hyla,2.32,3.19
2,hyla,2.01,3.10
2,hyla,1.94,3.25
2,hyla,2.17,3.52
2,hyla,2.00,2.92
2,hyla,2.05,3.21
2,hyla,1.94,2.98
2,hyla,1.92,3.07
2,hyla,2.11,3.02
2,hyla,2.11,3.29
3,rana,2.53,4.45
3,rana,2.91,4.27
3,rana,2.78,4.00
3,rana,2.55,4.20
3,rana,2.21,4.15
3,rana,2.69,4.25
3,rana,2.81,4.44
3,rana,2.89,4.23
3,rana,2.70,3.74
3,rana,2.73,4.48
3,rana,3.07,4.75
3,rana,2.51,3.94
3,rana,2.97,4.31
3,rana,2.74,4.02
3,rana,2.99,4.17
3,rana,2.86,4.17
3,rana,2.92,4.45
3,rana,2.15,3.67
3,rana,3.02,4.52
3,rana,2.96,4.34
3,hyla,2.04,3.11
3,hyla,2.28,3.46
3,hyla,1.84,3.47
3,hyla,2.11,3.31
3,hyla,2.03,3.37
3,hyla,1.94,3.22
3,hyla,1.68,2.71
3,hyla,1.71,3.11
3,hyla,2.50,3.61
3,hyla,1.94,2.95
3,hyla,1.83,3.34
3,hyla,1.73,2.83
3,hyla,2.20,3.24
3,hyla,1.88,3.28
3,hyla,2.36,3.57
3,hyla,2.10,2.60
3,hyla,1.79,3.07
3,hyla,2.10,3.58
3,hyla,1.68,2.92
3,hyla,1.98,3.00
4,hyla,2.21,3.19
4,hyla,2.03,3.51
4,hyla,2.05,3.07
4,hyla,1.59,2.73
4,hyla,2.00,2.88
4,hyla,2.14,3.25
4,hyla,2.15,3.42
4,hyla,2.33,3.59
4,hyla,2.03,3.17
4,hyla,1.71,2.64
4,hyla,2.40,2.95
4,hyla,1.78,3.07
4,hyla,2.12,3.30
4,hyla,1.68,3.15
4,hyla,1.98,3.55
4,hyla,1.92,3.32
4,hyla,2.22,3.25
4,hyla,2.18,3.21
4,hyla,2.09,3.04
4,hyla,2.06,3.07
5,rana,2.84,4.38
5,rana,2.95,4.48
5,rana,2.84,4.41
5,rana,2.72,4.07
5,rana,3.01,4.34
5,rana,2.80,4.35
5,rana,2.82,3.90
5,rana,2.54,4.09
5,rana,3.08,4.78
5,rana,2.90,4.38
5,rana,3.00,4.17
5,rana,2.75,3.90
5,rana,2.69,4.09
5,rana,2.68,3.68
5,rana,2.73,3.86
5,rana,2.40,3.70
5,rana,2.56,3.84
5,rana,2.44,3.65
5,rana,2.34,3.85
5,rana,2.59,3.83
5,hyla,1.56,2.52
5,hyla,1.84,3.06
5,hyla,1.54,2.73
5,hyla,1.68,2.99
5,hyla,1.88,3.59
5,hyla,1.80,2.80
5,hyla,1.81,3.01
5,hyla,1.97,3.27
5,hyla,1.72,3.14
5,hyla,1.89,3.25
5,hyla,1.72,3.01
5,hyla,1.67,2.76
5,hyla,1.69,2.90
5,hyla,1.40,2.18
5,hyla,1.57,2.80
5,hyla,1.66,2.84
5,hyla,1.88,3.11
