tank,block,trt,order,sync
1,1,early_high,early,high
2,1,early_med,early,med
3,1,early_low,early,low
4,1,same_high,same,high
5,1,same_med,same,med
6,1,same_low,same,low
7,1,late_high,late,high
8,1,late_med,late,med
9,1,late_low,late,low
10,1,cont_high,cont,high
11,2,early_med,early,med
12,2,same_low,same,low
13,2,early_low,early,low
14,2,same_med,same,med
15,2,early_high,early,high
16,2,late_med,late,med
17,2,same_high,same,high
18,2,late_high,late,high
19,2,late_low,late,low
20,2,cont_med,cont,med
21,3,same_med,same,med
22,3,same_high,same,high
23,3,late_low,late,low
24,3,early_med,early,med
25,3,same_low,same,low
26,3,early_high,early,high
27,3,late_med,late,med
28,3,late_high,late,high
29,3,early_low,early,low
30,3,cont_low,cont,low
31,4,late_low,late,low
32,4,same_low,same,low
33,4,early_low,early,low
34,4,same_high,same,high
35,4,same_med,same,med
36,4,late_high,late,high
37,4,early_high,early,high
38,4,early_med,early,med
39,4,late_med,late,med
40,4,cont_high,cont,high
41,5,late_high,late,high
42,5,early_low,early,low
43,5,same_med,same,med
44,5,same_high,same,high
45,5,late_low,late,low
46,5,early_high,early,high
47,5,same_low,same,low
48,5,early_med,early,med
49,5,late_med,late,med
50,5,cont_med,cont,med
51,6,late_med,late,med
52,6,early_high,early,high
53,6,early_med,early,med
54,6,same_high,same,high
55,6,early_low,early,low
56,6,late_high,late,high
57,6,same_low,same,low
58,6,same_med,same,med
59,6,late_low,late,low
60,6,cont_low,cont,low
