tank,block,trt,order,sync,rana_tads,rana_metas,rana_surv,hyla_tads,pantala
1,1,early_high,early,high,0,0,0,0,0
2,1,early_low,early,med,0,0,0,0,0
3,1,late_high,early,low,0,0,0,0,0
4,1,same_med,same,high,5,0,5,3,0
5,1,early_low,same,med,9,0,9,0,0
6,1,late_med,same,low,12,0,12,0,0
7,1,late_low,late,high,0,0,0,1,0
8,1,late_low,late,med,4,0,4,1,0
9,1,same_low,late,low,0,0,0,0,3
10,1,early_high,cont,high,0,0,0,0,0
11,2,same_med,early,med,0,0,0,0,0
12,2,cont_med,same,low,15,0,15,0,0
13,2,late_med,early,low,0,0,0,0,0
14,2,late_high,same,med,20,0,20,4,0
15,2,early_med,early,high,5,0,5,0,0
16,2,same_low,late,med,3,0,3,1,0
17,2,same_high,same,high,17,0,17,0,0
18,2,cont_med,late,high,12,0,12,2,0
19,2,early_high,late,low,0,0,0,0,0
20,2,late_high,cont,med,0,0,0,0,0
21,3,same_low,same,med,0,0,0,0,0
22,3,late_low,same,high,3,0,3,4,0
23,3,late_med,late,low,0,0,0,0,0
24,3,early_high,early,med,0,0,0,0,0
25,3,late_med,same,low,5,0,5,0,0
26,3,early_low,early,high,7,0,7,0,0
27,3,early_low,late,med,0,0,0,0,1
28,3,same_med,late,high,1,0,1,0,0
29,3,late_low,early,low,0,0,0,0,0
30,3,late_med,cont,low,0,0,0,0,0
31,4,late_high,late,low,0,0,0,0,0
32,4,early_high,same,low,17,0,17,0,0
33,4,cont_high,early,low,0,0,0,0,0
34,4,early_high,same,high,2,0,2,0,0
35,4,same_med,same,med,17,0,17,0,0
36,4,same_high,late,high,3,0,3,2,0
37,4,same_high,early,high,7,0,7,0,0
38,4,late_med,early,med,1,0,1,0,0
39,4,same_high,late,med,6,0,6,0,0
40,4,early_med,cont,high,0,0,0,0,0
41,5,late_low,late,high,2,0,2,3,0
42,5,early_med,early,low,0,0,0,0,0
43,5,late_low,same,med,20,1,21,0,0
44,5,same_low,same,high,4,0,4,0,0
45,5,early_low,late,low,0,2,2,0,0
46,5,same_med,early,high,0,0,0,0,0
47,5,early_med,same,low,5,0,5,0,0
48,5,same_high,early,med,17,0,17,0,0
49,5,same_med,late,med,7,0,7,1,0
50,5,early_low,cont,med,0,0,0,0,0
51,6,late_high,late,med,2,0,2,0,0
52,6,same_low,early,high,7,1,8,0,0
53,6,late_high,early,med,10,0,10,0,0
54,6,early_med,same,high,0,0,0,0,0
55,6,same_low,early,low,14,0,14,0,0
56,6,early_med,late,high,0,4,4,0,0
57,6,same_high,same,low,19,0,19,0,0
58,6,cont_low,same,med,4,0,4,0,0
59,6,cont_low,late,low,1,0,1,0,0
60,6,cont_high,cont,low,0,0,0,0,0
